currency,timestamp_raw,timestamp_utc,tenor,delta,market_iv,model_iv,residual,market_iv_vol_points,model_iv_vol_points,residual_vol_points,anomaly_score_vol_points
BTC,20260703_025200,2026-07-03 02:52:00+00:00,30.0,0.5,0.38390082088318894,0.3856804370880127,-0.001779616204823753,38.39008208831889,38.56804275512695,-0.1779616204823753,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,30.0,0.7,0.41779635706419177,0.41753914952278137,0.00025720754141039803,41.77963570641918,41.75391387939453,0.025720754141039803,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,30.0,0.8,0.4453060506588561,0.44292837381362915,0.0023776768452269392,44.53060506588561,44.29283905029297,0.23776768452269392,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,30.0,0.9,0.4945099583538851,0.49218809604644775,0.0023218623074373612,49.45099583538851,49.21881103515625,0.23218623074373612,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,60.0,0.1,0.36601165270886643,0.36786866188049316,-0.0018570091716267334,36.601165270886646,36.786865234375,-0.18570091716267334,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,60.0,0.2,0.3658882316365509,0.3680460453033447,-0.0021578136667938508,36.588823163655086,36.804603576660156,-0.21578136667938508,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,60.0,0.3,0.3724859867619077,0.3748154044151306,-0.0023294176532229205,37.24859867619077,37.48154067993164,-0.23294176532229205,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,60.0,0.5,0.39503842786403104,0.3966014087200165,-0.0015629808559854408,39.503842786403105,39.66014099121094,-0.15629808559854408,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,60.0,0.7,0.4293940907070181,0.431588351726532,-0.0021942610195138657,42.939409070701814,43.158836364746094,-0.21942610195138657,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,60.0,0.8,0.4595441565883285,0.46101799607276917,-0.0014738394844406866,45.95441565883285,46.10179901123047,-0.14738394844406866,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,60.0,0.9,0.5150948223597979,0.5164462924003601,-0.0013514700405622415,51.50948223597979,51.644630432128906,-0.13514700405622415,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,90.0,0.1,0.37386006013445594,0.3748614192008972,-0.0010013590664412764,37.386006013445595,37.486141204833984,-0.10013590664412764,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,90.0,0.2,0.3732603596108884,0.3743436932563782,-0.0010833336454897924,37.32603596108884,37.43436813354492,-0.10833336454897924,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,90.0,0.3,0.3794382469500581,0.380707710981369,-0.0012694640313108962,37.943824695005816,38.070770263671875,-0.12694640313108962,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,90.0,0.5,0.4016672253140118,0.4035269021987915,-0.0018596768847797263,40.16672253140118,40.352691650390625,-0.18596768847797263,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,90.0,0.7,0.4370265298953608,0.4384704828262329,-0.0014439529308721277,43.70265298953608,43.847049713134766,-0.14439529308721277,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,90.0,0.8,0.46802822254267445,0.46973851323127747,-0.0017102906886030111,46.80282225426745,46.97385025024414,-0.17102906886030111,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,90.0,0.9,0.530823048959226,0.5340210199356079,-0.0031979709763818587,53.082304895922604,53.402103424072266,-0.31979709763818587,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,120.0,0.1,0.3852195318337187,0.38589000701904297,-0.0006704751853242596,38.52195318337187,38.5890007019043,-0.06704751853242596,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,120.0,0.2,0.384831788182317,0.38541942834854126,-0.000587640166224257,38.4831788182317,38.54194259643555,-0.0587640166224257,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,120.0,0.3,0.3893749692348683,0.3900570869445801,-0.0006821177097117714,38.93749692348683,39.005706787109375,-0.06821177097117714,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,120.0,0.5,0.40904494152824405,0.4110795855522156,-0.0020346440239715213,40.904494152824405,41.10795974731445,-0.20346440239715213,0.19536191811633116
