currency,timestamp_raw,timestamp_utc,tenor,delta,market_iv,model_iv,residual,market_iv_vol_points,model_iv_vol_points,residual_vol_points,anomaly_score_vol_points,horizon_hours,future_timestamp_utc,actual_gap_hours,future_market_iv,future_market_iv_vol_points,future_iv_change,future_iv_change_vol_points
ETH,20260707_015516,2026-07-07 01:55:16+00:00,120.0,0.8,0.5822067150800861,0.5819875001907349,0.0002192148893512,58.220671508008614,58.19874954223633,0.0219214889351282,0.2224931981895926,3,2026-07-07 04:55:46+00:00,3.0083333333333333,0.5846605010655868,58.46605010655867,0.0024537859855006117,0.2453785985500545
ETH,20260707_025545,2026-07-07 02:55:45+00:00,120.0,0.8,0.5847653764487821,0.5846912264823914,7.414996639076854e-05,58.47653764487821,58.46912384033203,0.0074149966390768,0.1678306434919497,3,2026-07-07 05:58:48+00:00,3.0508333333333333,0.5842205171626742,58.42205171626742,-0.0005448592861079238,-0.05448592861079504
ETH,20260708_003333,2026-07-08 00:33:33+00:00,120.0,0.8,0.5818108164846267,0.5812968015670776,0.000514014917549,58.18108164846267,58.12968063354492,0.0514014917549099,0.30375352993661,3,2026-07-08 03:43:59+00:00,3.173888888888889,0.5848456667955871,58.48456667955871,0.003034850310960402,0.30348503109603797
ETH,20260708_014358,2026-07-08 01:43:58+00:00,120.0,0.8,0.5853681666110582,0.5844728946685791,0.000895271942479,58.53681666110582,58.447288513183594,0.089527194247907,0.2724708216153277,3,2026-07-08 04:44:00+00:00,3.0005555555555556,0.5858440118277348,58.58440118277348,0.00047584521667665136,0.047584521667666024
ETH,20260708_024358,2026-07-08 02:43:58+00:00,120.0,0.8,0.5855695742367953,0.5853028893470764,0.0002666848897189,58.556957423679535,58.53028869628906,0.0266684889718926,0.2504415400532706,3,2026-07-08 05:46:09+00:00,3.036388888888889,0.5855847058245184,58.55847058245184,1.5131587723038464e-05,0.0015131587723047346
ETH,20260708_034359,2026-07-08 03:43:59+00:00,120.0,0.8,0.5848456667955871,0.5849761366844177,-0.0001304698888305,58.48456667955871,58.49761199951172,-0.0130469888830586,0.2289552169119984,3,2026-07-08 06:46:30+00:00,3.0419444444444443,0.5868050745435952,58.68050745435952,0.0019594077480080685,0.1959407748008104
ETH,20260702_215422,2026-07-02 21:54:22+00:00,120.0,0.9,0.6643142862898386,0.6667907238006592,-0.0024764375108206,66.43142862898385,66.67906951904297,-0.2476437510820606,0.2049939122316606,3,2026-07-03 00:41:49+00:00,2.7908333333333335,0.665686782763566,66.5686782763566,0.0013724964737273915,0.13724964737274092
ETH,20260703_004149,2026-07-03 00:41:49+00:00,120.0,0.9,0.665686782763566,0.6667134761810303,-0.0010266934174643,66.5686782763566,66.67134857177734,-0.1026693417464308,0.2029196822359693,3,2026-07-03 03:52:01+00:00,3.17,0.6664717801109927,66.64717801109927,0.0007849973474267635,0.07849973474267813
ETH,20260703_025200,2026-07-03 02:52:00+00:00,120.0,0.9,0.6649841664470446,0.6674861311912537,-0.002501964744209,66.49841664470446,66.74861145019531,-0.2501964744209051,0.1991660859884118,3,2026-07-03 05:52:03+00:00,3.0008333333333335,0.6600911740652473,66.00911740652474,-0.004892992381797301,-0.48929923817972565
ETH,20260703_035201,2026-07-03 03:52:01+00:00,120.0,0.9,0.6664717801109927,0.6670527458190918,-0.000580965708099,66.64717801109927,66.70527648925781,-0.0580965708099068,0.1996555805457646,3,2026-07-03 06:52:04+00:00,3.0008333333333335,0.6590666876417024,65.90666876417023,-0.007405092469290331,-0.7405092469290366
ETH,20260703_045202,2026-07-03 04:52:02+00:00,120.0,0.9,0.6661204919386138,0.6657158732414246,0.0004046186971892,66.61204919386138,66.57158660888672,0.0404618697189218,0.1377604509873423,3,2026-07-03 07:54:53+00:00,3.0475,0.6569322259739302,65.69322259739302,-0.009188265964683584,-0.9188265964683637
ETH,20260703_151015,2026-07-03 15:10:15+00:00,120.0,0.9,0.6453960287541283,0.6436558961868286,0.0017401325672996,64.53960287541283,64.36559295654297,0.1740132567299657,0.1345478700770106,3,2026-07-03 17:44:37+00:00,2.5727777777777776,0.6468483317125724,64.68483317125724,0.0014523029584441183,0.1452302958444136
ETH,20260703_184438,2026-07-03 18:44:38+00:00,120.0,0.9,0.6446038744586268,0.6426461935043335,0.0019576809542932,64.46038744586268,64.26461791992188,0.1957680954293272,0.1152352006865764,3,2026-07-03 22:03:02+00:00,3.3066666666666666,0.642150346271187,64.2150346271187,-0.002453528187439824,-0.24535281874398152
ETH,20260703_220302,2026-07-03 22:03:02+00:00,120.0,0.9,0.642150346271187,0.640934944152832,0.0012154021183549,64.2150346271187,64.09349060058594,0.1215402118354913,0.1459093492361716,3,2026-07-04 00:47:22+00:00,2.738888888888889,0.6391214179107076,63.912141791070766,-0.0030289283604792994,-0.30289283604793127
ETH,20260704_150952,2026-07-04 15:09:52+00:00,120.0,0.9,0.6355039391860184,0.6348443031311035,0.0006596360549149,63.55039391860184,63.48442840576172,0.0659636054914925,0.290990215630838,3,2026-07-04 17:42:11+00:00,2.538611111111111,0.636227922170142,63.6227922170142,0.0007239829841235723,0.07239829841235945
ETH,20260704_162607,2026-07-04 16:26:07+00:00,120.0,0.9,0.6370106697987019,0.6364983916282654,0.0005122781704365,63.70106697987019,63.64983749389648,0.051227817043653,0.2533904220818826,3,2026-07-04 19:54:55+00:00,3.48,0.6367981077390772,63.67981077390772,-0.0002125620596247213,-0.021256205962473018
ETH,20260704_184340,2026-07-04 18:43:40+00:00,120.0,0.9,0.6367269435779135,0.6354411244392395,0.0012858191386739,63.67269435779135,63.54411315917969,0.1285819138673982,0.2672966304098217,3,2026-07-04 21:50:30+00:00,3.113888888888889,0.6381900533056151,63.81900533056151,0.0014631097277015837,0.14631097277015925
ETH,20260705_124921,2026-07-05 12:49:21+00:00,120.0,0.9,0.6379392158676551,0.6388678550720215,-0.0009286392043663,63.793921586765514,63.88678741455078,-0.0928639204366366,0.1359073434650343,3,2026-07-05 16:16:52+00:00,3.4586111111111113,0.6406740136742042,64.06740136742042,0.002734797806549061,0.2734797806549025
ETH,20260705_161652,2026-07-05 16:16:52+00:00,120.0,0.9,0.6406740136742042,0.6409058570861816,-0.0002318434119774,64.06740136742042,64.09058380126953,-0.0231843411977461,0.1152844404138911,3,2026-07-05 19:37:28+00:00,3.3433333333333333,0.6379585232212657,63.79585232212656,-0.002715490452938507,-0.2715490452938596
ETH,20260705_183727,2026-07-05 18:37:27+00:00,120.0,0.9,0.6385661817352103,0.6398149132728577,-0.0012487315376473,63.85661817352103,63.98149108886719,-0.1248731537647374,0.1290311820870069,3,2026-07-05 21:47:09+00:00,3.1616666666666666,0.6386994534073971,63.86994534073971,0.00013327167218679659,0.013327167218683655
ETH,20260706_012943,2026-07-06 01:29:43+00:00,120.0,0.9,0.6364344678520094,0.6357599496841431,0.0006745181678663,63.64344678520094,63.57599639892578,0.0674518167866344,0.1912420944495419,3,2026-07-06 04:25:33+00:00,2.9305555555555554,0.6362089804702057,63.62089804702057,-0.00022548738180372396,-0.02254873818037595
ETH,20260706_024036,2026-07-06 02:40:36+00:00,120.0,0.9,0.6387165266090176,0.6376085877418518,0.0011079388671657,63.87165266090176,63.760860443115234,0.1107938867165758,0.1037872879715744,3,2026-07-06 05:31:41+00:00,2.8513888888888888,0.6362864497368378,63.62864497368378,-0.002430076872179776,-0.2430076872179825
ETH,20260706_123242,2026-07-06 12:32:42+00:00,120.0,0.9,0.63958131414629,0.6424903869628906,-0.0029090728166005,63.95813141462901,64.24903869628906,-0.2909072816600577,0.1613813870878523,3,2026-07-06 15:32:44+00:00,3.0005555555555556,0.6461792732188848,64.61792732188847,0.00659795907259475,0.6597959072594648
ETH,20260706_133243,2026-07-06 13:32:43+00:00,120.0,0.9,0.6427231966434402,0.6438380479812622,-0.0011148513378219,64.27231966434402,64.38380432128906,-0.1114851337821964,0.2244886163592085,3,2026-07-06 16:32:45+00:00,3.0005555555555556,0.6457028752668089,64.57028752668089,0.0029796786233686756,0.29796786233686134
ETH,20260706_143244,2026-07-06 14:32:44+00:00,120.0,0.9,0.6469714566080339,0.6467260122299194,0.0002454443781144,64.69714566080339,64.67259979248047,0.0245444378114467,0.1430928676413021,3,2026-07-06 17:34:05+00:00,3.0225,0.6440696715948808,64.40696715948808,-0.00290178501315308,-0.2901785013153102
ETH,20260706_153244,2026-07-06 15:32:44+00:00,120.0,0.9,0.6461792732188848,0.6458117365837097,0.000367536635175,64.61792732188847,64.5811767578125,0.036753663517508,0.1796711099076339,3,2026-07-06 18:34:06+00:00,3.022777777777778,0.6449666449480309,64.49666449480308,-0.0012126282708538882,-0.12126282708538838
ETH,20260706_163245,2026-07-06 16:32:45+00:00,120.0,0.9,0.6457028752668089,0.6453360319137573,0.0003668433530515,64.57028752668089,64.53359985351562,0.0366843353051593,0.0989323050461647,3,2026-07-06 19:34:07+00:00,3.022777777777778,0.643680466923838,64.3680466923838,-0.0020224083429709605,-0.20224083429708628
ETH,20260706_173405,2026-07-06 17:34:05+00:00,120.0,0.9,0.6440696715948808,0.6450267434120178,-0.000957071817137,64.40696715948808,64.50267791748047,-0.0957071817137,0.0978437477335924,3,2026-07-06 20:34:08+00:00,3.0008333333333335,0.6431409418804044,64.31409418804044,-0.0009287297144764395,-0.09287297144763329
ETH,20260706_183406,2026-07-06 18:34:06+00:00,120.0,0.9,0.6449666449480309,0.6453853845596313,-0.0004187396116004,64.49666449480308,64.53853607177734,-0.0418739611600438,0.0832195230854055,3,2026-07-06 21:34:08+00:00,3.0005555555555556,0.6422256132784747,64.22256132784747,-0.002741031669556193,-0.2741031669556122
ETH,20260706_213408,2026-07-06 21:34:08+00:00,120.0,0.9,0.6422256132784747,0.6425696015357971,-0.0003439882573224,64.22256132784747,64.2569580078125,-0.0343988257322402,0.1207022236336226,3,2026-07-07 00:35:25+00:00,3.0213888888888887,0.6422120485264406,64.22120485264406,-1.3564752034067595e-05,-0.0013564752034085359
ETH,20260707_003525,2026-07-07 00:35:25+00:00,120.0,0.9,0.6422120485264406,0.6426169276237488,-0.0004048790973081,64.22120485264406,64.2616958618164,-0.040487909730813,0.1989077045447529,3,2026-07-07 03:55:45+00:00,3.338888888888889,0.6470982101880887,64.70982101880887,0.004886161661648014,0.4886161661648032
ETH,20260707_015415,2026-07-07 01:54:15+00:00,120.0,0.9,0.6435087433857899,0.644568920135498,-0.0010601767497081,64.35087433857899,64.45689392089844,-0.1060176749708152,0.2159887181823137,3,2026-07-07 04:55:46+00:00,3.0252777777777777,0.6471129332290071,64.71129332290072,0.003604189843217198,0.3604189843217256
ETH,20260707_015516,2026-07-07 01:55:16+00:00,120.0,0.9,0.6432349270845958,0.6444982290267944,-0.0012633019421985,64.32349270845958,64.44982147216797,-0.1263301942198591,0.2224931981895926,3,2026-07-07 04:55:46+00:00,3.0083333333333333,0.6471129332290071,64.71129332290072,0.00387800614441125,0.387800614441133
ETH,20260707_025545,2026-07-07 02:55:45+00:00,120.0,0.9,0.6459284289142213,0.646260142326355,-0.0003317134121336,64.59284289142214,64.62601470947266,-0.0331713412133671,0.1678306434919497,3,2026-07-07 05:58:48+00:00,3.0508333333333333,0.6469940670237255,64.69940670237256,0.0010656381095042189,0.10656381095041922
ETH,20260708_003333,2026-07-08 00:33:33+00:00,120.0,0.9,0.6421429084266582,0.6437966227531433,-0.001653714326485,64.21429084266582,64.3796615600586,-0.1653714326485089,0.30375352993661,3,2026-07-08 03:43:59+00:00,3.173888888888889,0.6469479047030431,64.69479047030431,0.004804996276384865,0.4804996276384941
ETH,20260708_014358,2026-07-08 01:43:58+00:00,120.0,0.9,0.6481611985702711,0.6470835208892822,0.0010776776809888,64.8161198570271,64.7083511352539,0.1077677680988875,0.2724708216153277,3,2026-07-08 04:44:00+00:00,3.0005555555555556,0.6491444329872742,64.91444329872742,0.0009832344170030982,0.09832344170031604
ETH,20260708_024358,2026-07-08 02:43:58+00:00,120.0,0.9,0.6486371506311566,0.6480194330215454,0.0006177176096111,64.86371506311566,64.80194091796875,0.0617717609611156,0.2504415400532706,3,2026-07-08 05:46:09+00:00,3.036388888888889,0.6498010570736509,64.98010570736508,0.0011639064424943113,0.11639064424942092
ETH,20260708_034359,2026-07-08 03:43:59+00:00,120.0,0.9,0.6469479047030431,0.6476622223854065,-0.0007143176823634,64.69479047030431,64.76622009277344,-0.0714317682363407,0.2289552169119984,3,2026-07-08 06:46:30+00:00,3.0419444444444443,0.6495483620451907,64.95483620451907,0.002600457342147644,0.2600457342147564
ETH,20260702_215422,2026-07-02 21:54:22+00:00,180.0,0.1,0.5712805425229079,0.5735582113265991,-0.0022776688036911,57.128054252290795,57.35581970214844,-0.2277668803691179,0.2049939122316606,3,2026-07-03 00:41:49+00:00,2.7908333333333335,0.5719223432639142,57.19223432639142,0.000641800741006282,0.06418007410062643
ETH,20260703_004149,2026-07-03 00:41:49+00:00,180.0,0.1,0.5719223432639142,0.5730687379837036,-0.0011463947197893,57.19223432639142,57.3068733215332,-0.1146394719789389,0.2029196822359693,3,2026-07-03 03:52:01+00:00,3.17,0.5696512240722258,56.96512240722258,-0.002271119191688431,-0.22711191916884133
ETH,20260703_025200,2026-07-03 02:52:00+00:00,180.0,0.1,0.5711540407359065,0.5737161636352539,-0.0025621228993474,57.115404073590646,57.37161636352539,-0.256212289934743,0.1991660859884118,3,2026-07-03 05:52:03+00:00,3.0008333333333335,0.5645680617467219,56.456806174672195,-0.00658597898918456,-0.6585978989184511
ETH,20260703_035201,2026-07-03 03:52:01+00:00,180.0,0.1,0.5696512240722258,0.5727765560150146,-0.0031253319427888,56.96512240722258,57.27765655517578,-0.3125331942788856,0.1996555805457646,3,2026-07-03 06:52:04+00:00,3.0008333333333335,0.5638653552903045,56.386535529030446,-0.005785868781921333,-0.5785868781921337
ETH,20260703_045202,2026-07-03 04:52:02+00:00,180.0,0.1,0.5695180740684952,0.5711256861686707,-0.0016076121001754,56.95180740684952,57.11256790161133,-0.1607612100175459,0.1377604509873423,3,2026-07-03 07:54:53+00:00,3.0475,0.5620048533828448,56.20048533828448,-0.0075132206856504125,-0.7513220685650381
ETH,20260703_151015,2026-07-03 15:10:15+00:00,180.0,0.1,0.5573329492478202,0.556753933429718,0.0005790158181021,55.733294924782015,55.675392150878906,0.0579015818102157,0.1345478700770106,3,2026-07-03 17:44:37+00:00,2.5727777777777776,0.5569416069091976,55.69416069091976,-0.00039134233862259116,-0.03913423386225645
ETH,20260703_184438,2026-07-03 18:44:38+00:00,180.0,0.1,0.5570526208396543,0.5562463402748108,0.0008062805648435,55.70526208396544,55.6246337890625,0.0806280564843553,0.1152352006865764,3,2026-07-03 22:03:02+00:00,3.3066666666666666,0.5564844592563457,55.64844592563457,-0.0005681615833086351,-0.05681615833086795
ETH,20260703_220302,2026-07-03 22:03:02+00:00,180.0,0.1,0.5564844592563457,0.556370735168457,0.0001137240878886,55.64844592563457,55.6370735168457,0.0113724087888678,0.1459093492361716,3,2026-07-04 00:47:22+00:00,2.738888888888889,0.5550656928039479,55.50656928039479,-0.0014187664523978016,-0.14187664523977617
ETH,20260704_150952,2026-07-04 15:09:52+00:00,180.0,0.1,0.5533481897012021,0.5530791282653809,0.0002690614358212,55.33481897012022,55.30791473388672,0.0269061435821282,0.290990215630838,3,2026-07-04 17:42:11+00:00,2.538611111111111,0.5499180791718852,54.99180791718852,-0.0034301105293169654,-0.34301105293170053
ETH,20260704_162607,2026-07-04 16:26:07+00:00,180.0,0.1,0.5516723956937842,0.5503158569335938,0.0013565387601904,55.167239569378424,55.031585693359375,0.1356538760190484,0.2533904220818826,3,2026-07-04 19:54:55+00:00,3.48,0.5501330906534231,55.013309065342305,-0.0015393050403611497,-0.15393050403611852
ETH,20260704_184340,2026-07-04 18:43:40+00:00,180.0,0.1,0.5499486035859149,0.5490836501121521,0.0008649534737628,54.99486035859149,54.90836334228515,0.0864953473762808,0.2672966304098217,3,2026-07-04 21:50:30+00:00,3.113888888888889,0.5510676954984852,55.10676954984852,0.0011190919125703136,0.11190919125703402
ETH,20260705_124921,2026-07-05 12:49:21+00:00,180.0,0.1,0.5518576377421393,0.5505806803703308,0.0012769573718084,55.185763774213925,55.058067321777344,0.127695737180844,0.1359073434650343,3,2026-07-05 16:16:52+00:00,3.4586111111111113,0.5514527604810247,55.14527604810247,-0.0004048772611146001,-0.04048772611145779
ETH,20260705_161652,2026-07-05 16:16:52+00:00,180.0,0.1,0.5514527604810247,0.5515602231025696,-0.0001074626215449,55.14527604810247,55.15602111816406,-0.0107462621544929,0.1152844404138911,3,2026-07-05 19:37:28+00:00,3.3433333333333333,0.5495373208965012,54.95373208965012,-0.0019154395845234484,-0.19154395845234973
ETH,20260705_183727,2026-07-05 18:37:27+00:00,180.0,0.1,0.5499314865393466,0.5508619546890259,-0.0009304681496792,54.99314865393467,55.08619689941406,-0.0930468149679231,0.1290311820870069,3,2026-07-05 21:47:09+00:00,3.1616666666666666,0.5510830415007489,55.10830415007489,0.0011515549614022902,0.11515549614022547
ETH,20260706_012943,2026-07-06 01:29:43+00:00,180.0,0.1,0.5500166378002461,0.5487520098686218,0.0012646279316242,55.001663780024614,54.87520217895508,0.1264627931624296,0.1912420944495419,3,2026-07-06 04:25:33+00:00,2.9305555555555554,0.5500889709158839,55.008897091588395,7.233311563781264e-05,0.007233311563780376
ETH,20260706_024036,2026-07-06 02:40:36+00:00,180.0,0.1,0.5516050850342382,0.5496179461479187,0.0019871388863195,55.16050850342382,54.961795806884766,0.1987138886319517,0.1037872879715744,3,2026-07-06 05:31:41+00:00,2.8513888888888888,0.5505264602852138,55.05264602852138,-0.001078624749024426,-0.10786247490243994
