currency,mask_rate,method,rmse_vol_points
ETH,0.1,previous_surface,0.3969265444909973
ETH,0.1,quadratic_smile,0.8583799563483251
ETH,0.3,cell_mean,1.2479528091153291
ETH,0.3,row_mean,4.471743537558084
ETH,0.3,previous_surface,0.4499340668346273
ETH,0.3,quadratic_smile,1.3670832491372749
ETH,0.3,cell_mean,0.24837485711663537
ETH,0.3,row_mean,7.106184532696893
ETH,0.3,previous_surface,0.2477318785962601
ETH,0.3,quadratic_smile,0.5488648389340696
ETH,0.3,cell_mean,0.2738355353770863
ETH,0.3,row_mean,4.582190673783511
ETH,0.3,previous_surface,0.1382274690866412
ETH,0.3,quadratic_smile,1.137851016398983
ETH,0.3,cell_mean,0.38921739033008906
ETH,0.3,row_mean,4.641962005608994
ETH,0.3,previous_surface,0.4540203365118286
ETH,0.3,quadratic_smile,1.242035560134808
ETH,0.3,cell_mean,0.48347411297760456
ETH,0.3,row_mean,5.749303453780259
ETH,0.3,previous_surface,0.10967002624521774
ETH,0.3,quadratic_smile,1.8105104113634802
ETH,0.3,cell_mean,0.3116526179252556
ETH,0.3,row_mean,4.245334798731134
ETH,0.3,previous_surface,0.15599527341195196
ETH,0.3,quadratic_smile,1.0991686472563202
ETH,0.3,cell_mean,0.3357555860711292
ETH,0.3,row_mean,5.140745516239297
ETH,0.3,previous_surface,0.1138193176899178
ETH,0.3,quadratic_smile,2.5472378304283545
ETH,0.3,cell_mean,0.3753716569828828
ETH,0.3,row_mean,4.9669747461245155
ETH,0.3,previous_surface,0.07981407569918558
ETH,0.3,quadratic_smile,1.148151785543535
ETH,0.3,cell_mean,0.49212779935467676
ETH,0.3,row_mean,4.910026415679362
ETH,0.3,previous_surface,0.1355167810771672
ETH,0.3,quadratic_smile,1.6886727080516286
ETH,0.3,cell_mean,0.5985374235797752
ETH,0.3,row_mean,5.345642956178309
ETH,0.3,previous_surface,0.33207047022205854
ETH,0.3,quadratic_smile,3.038640868313268
ETH,0.3,cell_mean,0.36866215494285876
ETH,0.3,row_mean,3.2782060488011258
ETH,0.3,previous_surface,0.3104638917389264
ETH,0.3,quadratic_smile,0.8130861275909725
ETH,0.5,cell_mean,1.0857613536564852
ETH,0.5,row_mean,4.443356744561071
ETH,0.5,previous_surface,0.5783920513755105
ETH,0.5,quadratic_smile,0.7566661934493073
ETH,0.5,cell_mean,0.8478316415402235
ETH,0.5,row_mean,4.968115286019371
ETH,0.5,previous_surface,0.43262500689889
ETH,0.5,quadratic_smile,1.2091073412620645
ETH,0.5,cell_mean,0.45640652390139874
ETH,0.5,row_mean,5.11492393130097
ETH,0.5,previous_surface,0.14356421201407024
ETH,0.5,quadratic_smile,1.28998761542131
ETH,0.5,cell_mean,0.3418366025959806
ETH,0.5,row_mean,4.570459905939374
ETH,0.5,previous_surface,0.318245808087135
ETH,0.5,quadratic_smile,1.2978299604261045
ETH,0.5,cell_mean,0.48516525459552884
ETH,0.5,row_mean,4.68318861742296
ETH,0.5,previous_surface,0.15279352960249382
ETH,0.5,quadratic_smile,0.8155633513039298
ETH,0.5,cell_mean,0.5192317156440388
ETH,0.5,row_mean,5.246300152992321
ETH,0.5,previous_surface,0.11562502326712293
ETH,0.5,quadratic_smile,2.5736073734864364
ETH,0.5,cell_mean,0.45459046137068637
ETH,0.5,row_mean,4.875954075812195
ETH,0.5,previous_surface,0.1638638463595819
ETH,0.5,quadratic_smile,2.1027128012511307
ETH,0.5,cell_mean,0.48963224867117855
ETH,0.5,row_mean,5.3154258999603785
ETH,0.5,previous_surface,0.04953307988841176
ETH,0.5,quadratic_smile,1.3960187842574527
ETH,0.5,cell_mean,0.5294985763274018
ETH,0.5,row_mean,5.2368934950202926
ETH,0.5,previous_surface,0.12820516577606156
ETH,0.5,quadratic_smile,1.5359341590060263
ETH,0.5,cell_mean,0.6381508918557006
ETH,0.5,row_mean,5.811098100498188
ETH,0.5,previous_surface,0.47799760335015506
ETH,0.5,quadratic_smile,1.5137909563669885
ETH,0.5,cell_mean,0.32051990503815253
ETH,0.5,row_mean,4.390335980772884
ETH,0.5,previous_surface,0.34353905893230985
ETH,0.5,quadratic_smile,2.4194062863532184
