currency,horizon_hours,tenor,delta,alpha,beta_on_residual,beta_t_stat,r2,n
BTC,3,14.0,0.7,-0.08189144497245614,-1.9306211591634976,-2.456904345589035,0.16750792218911292,32
BTC,3,14.0,0.8,-0.2043917575557234,-0.8005587696645596,-1.1729751920316864,0.04385123873829133,32
BTC,3,14.0,0.9,-0.10143334703391255,-1.4467089107846012,-2.233215145725509,0.14254478140440974,32
BTC,3,30.0,0.1,-0.1258205437269735,0.6701498060832888,1.2918730035747932,0.05269946122857183,32
BTC,3,30.0,0.2,-0.07238390661657815,1.4085605873845763,2.1078621920474454,0.1289978315238961,32
BTC,3,30.0,0.3,-0.07437024223065399,1.1952834268179193,1.5977386831677445,0.07841940903880729,32
BTC,3,30.0,0.5,-0.11563195002731046,1.2758021866032514,1.6361334017197364,0.08192116893314161,32
BTC,3,30.0,0.7,-0.12923980616701666,-0.6110328183394222,-0.5455792732906469,0.009824414672225501,32
BTC,3,30.0,0.8,-0.15367872943008046,0.19871735059864332,0.25185312713332003,0.0021098722817655124,32
BTC,3,30.0,0.9,-0.005590353969168396,-0.9661569270526658,-1.064171487151893,0.036375568116439716,32
BTC,3,60.0,0.1,-0.03653199096690847,0.8693199238805924,1.1885949451928963,0.04497401808107493,32
BTC,3,60.0,0.2,-0.05874750674175965,0.31526151382087636,0.482235319011272,0.007692070167971798,32
BTC,3,60.0,0.3,-0.02105250840883598,0.5886256065748449,0.9250336405786752,0.02773191307171019,32
BTC,3,60.0,0.5,-0.07472804144473628,-0.17871195580864202,-0.26914312310703326,0.0024087844379597767,32
BTC,3,60.0,0.7,-0.12664435451087555,-1.193411706737661,-1.8759252203159933,0.10498778045290413,32
BTC,3,60.0,0.8,-0.11600147485495414,-0.8131516093803411,-1.1967659577356544,0.04556621986038656,32
BTC,3,60.0,0.9,-0.031495870637506626,-1.5763027364820088,-1.9459099014498424,0.1120731067495192,32
BTC,3,90.0,0.1,-0.09876290014566869,-0.19539879890124548,-0.2944197257294889,0.0028811077303185773,32
BTC,3,90.0,0.2,-0.04695029092894877,0.7256188641347119,1.1311467057314093,0.04090516669209787,32
BTC,3,90.0,0.3,-0.015407112439491475,0.5567504705214131,0.7140005788248713,0.016709282905430833,32
BTC,3,90.0,0.5,-0.00678390081566455,1.2355767898967651,1.868117633000407,0.10420656064165046,32
BTC,3,90.0,0.7,-0.026483927117304646,0.193316337217875,0.21218543458959635,0.0014985063969994439,32
BTC,3,90.0,0.8,-0.01476855373788834,0.7461216030613665,0.9112730574919321,0.026935040891931106,32
BTC,3,90.0,0.9,0.09705788026817246,0.9444871553950811,1.1387683242359534,0.04143534080333966,32
BTC,3,120.0,0.1,-0.042522772571454655,0.5789011137474656,0.8476535505586793,0.023390339855689612,32
BTC,3,120.0,0.2,-0.01536421698171675,1.645873449683961,2.083766107095686,0.126436169234301,32
BTC,3,120.0,0.3,-0.016077507407678954,0.793264281178515,0.8876066284647757,0.025589498498892582,32
BTC,3,120.0,0.5,0.006309913179220943,1.445072223627594,1.9945121306585334,0.11707779835254539,32
BTC,3,120.0,0.7,-0.020097675271947342,1.6980863387137504,1.7520421639121353,0.09282383037708208,32
BTC,3,120.0,0.8,-0.015288231080939154,1.060405806183618,1.151904687407286,0.04235609234396576,32
BTC,3,120.0,0.9,0.03400280944724278,2.0275658556317055,2.9731540157201053,0.22759334814826016,32
BTC,3,180.0,0.1,-0.04724413811370881,0.1732719225287525,0.26685164300460934,0.002368039059597149,32
BTC,3,180.0,0.2,-0.02243738858498645,0.9110478834367354,1.3899787406422348,0.060504773419334246,32
BTC,3,180.0,0.3,-0.01634246318213109,0.38486876242497386,0.7846121789948141,0.020107917017549437,32
BTC,3,180.0,0.5,-0.012454429585292085,1.3068554988897838,2.3366281290357085,0.153972279544636,32
BTC,3,180.0,0.7,-0.013870102088285024,0.6989547998659588,1.0093701875326646,0.03284547597078835,32
BTC,3,180.0,0.8,-0.0018679861873077948,0.8298265713619299,1.456122242593672,0.06601098104405034,32
BTC,3,180.0,0.9,0.03406244639829721,0.2791636184934413,0.6598693862118681,0.01430660388558147,32
BTC,6,14.0,0.1,-0.2680503683307382,0.3512979841440871,0.30129585923461394,0.005017981470806787,20
BTC,6,14.0,0.2,-0.5921776857419383,-3.7820066323844435,-2.3365498922545345,0.23271908827166332,20
BTC,6,14.0,0.3,-0.4161680950530338,-1.9906748665864655,-1.1208368639274944,0.06523978586526857,20
BTC,6,14.0,0.5,-0.3228772501519294,-1.7747653464895015,-1.0939583748155985,0.06234103388116419,20
BTC,6,14.0,0.7,-0.19124469500792146,-2.3980793798161866,-1.3420210986992014,0.09095594934555595,20
BTC,6,14.0,0.8,-0.4338857682075054,0.11314507597968529,0.0832082125495158,0.00038449691834829824,20
BTC,6,14.0,0.9,-0.4854743244102256,0.17003739611129742,0.1422816247964646,0.0011234065802034898,20
BTC,6,30.0,0.1,-0.09340723154362197,1.736370156347622,1.7974891546936769,0.15218182108639688,20
BTC,6,30.0,0.2,-0.23858278195752772,4.586649423787872,3.0237028527032535,0.3368401946303734,20
BTC,6,30.0,0.3,-0.16676883282288918,1.387821701398671,0.7414919421202751,0.029639672391824856,20
BTC,6,30.0,0.5,-0.4206633458187807,3.1812479115044177,1.6022189732152796,0.1248160865849619,20
BTC,6,30.0,0.7,-0.2798195039838942,0.13444269733689643,0.0524944768733513,0.00015306934964331997,20
BTC,6,30.0,0.8,-0.572852030207116,2.2494920978423742,0.8665789751424823,0.04004910444029741,20
BTC,6,30.0,0.9,-0.4033586653294032,0.5570976185183294,0.33334275454121776,0.006135313995268898,20
BTC,6,60.0,0.1,-0.23325340281219673,-0.26053958797669047,-0.22822340718821552,0.002885313298921166,20
BTC,6,60.0,0.2,-0.2611054817290088,-0.8672285055731022,-0.8500490696046448,0.038594215579002,20
BTC,6,60.0,0.3,-0.1818669792253153,0.060970958902821185,0.05951317360498071,0.00019672894746924907,20
BTC,6,60.0,0.5,-0.20210787863736798,0.5108725159922443,0.48465275473912234,0.012881257560023895,20
BTC,6,60.0,0.7,-0.18041380320817987,-1.0214823235459654,-0.8226425626985473,0.03623441550743389,20
BTC,6,60.0,0.8,-0.2023835199060714,0.40228621477989446,0.3108038299202233,0.005337965469789041,20
BTC,6,60.0,0.9,-0.15198028423248944,-1.1793274141305472,-0.7974330899370342,0.0341222881032921,20
BTC,6,90.0,0.1,-0.30773147408382817,-0.9050719394657478,-1.4472136606164747,0.1042292641597865,20
BTC,6,90.0,0.2,-0.2733374088614942,-0.7979916154766893,-1.5842573818625416,0.12237382656744644,20
BTC,6,90.0,0.3,-0.14815753052283306,0.08576273965434966,0.08598713861645495,0.00041059734098602974,20
